  PID TTY          TIME CMD
    1 ?        00:00:00 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:01 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:00 migration/0
   10 ?        00:00:00 watchdog/0
   11 ?        00:00:00 watchdog/1
   12 ?        00:00:00 migration/1
   13 ?        00:00:00 ksoftirqd/1
   15 ?        00:00:00 kworker/1:0H
   16 ?        00:00:00 watchdog/2
   17 ?        00:00:00 migration/2
   18 ?        00:00:00 ksoftirqd/2
   20 ?        00:00:00 kworker/2:0H
   21 ?        00:00:00 watchdog/3
   22 ?        00:00:00 migration/3
   23 ?        00:00:00 ksoftirqd/3
   25 ?        00:00:00 kworker/3:0H
   26 ?        00:00:00 watchdog/4
   27 ?        00:00:00 migration/4
   28 ?        00:00:00 ksoftirqd/4
   30 ?        00:00:00 kworker/4:0H
   31 ?        00:00:00 watchdog/5
   32 ?        00:00:00 migration/5
   33 ?        00:00:00 ksoftirqd/5
   35 ?        00:00:00 kworker/5:0H
   36 ?        00:00:00 watchdog/6
   37 ?        00:00:00 migration/6
   38 ?        00:00:00 ksoftirqd/6
   40 ?        00:00:00 kworker/6:0H
   41 ?        00:00:00 watchdog/7
   42 ?        00:00:00 migration/7
   43 ?        00:00:00 ksoftirqd/7
   44 ?        00:00:00 kworker/7:0
   45 ?        00:00:00 kworker/7:0H
   46 ?        00:00:00 kdevtmpfs
   47 ?        00:00:00 netns
   48 ?        00:00:00 perf
   49 ?        00:00:00 khungtaskd
   50 ?        00:00:00 writeback
   51 ?        00:00:00 ksmd
   52 ?        00:00:00 khugepaged
   53 ?        00:00:00 crypto
   54 ?        00:00:00 kintegrityd
   55 ?        00:00:00 bioset
   56 ?        00:00:00 kblockd
   57 ?        00:00:00 ata_sff
   58 ?        00:00:00 md
   59 ?        00:00:00 devfreq_wq
   63 ?        00:00:00 kswapd0
   64 ?        00:00:00 vmstat
   65 ?        00:00:00 fsnotify_mark
   66 ?        00:00:00 ecryptfs-kthrea
   82 ?        00:00:00 kthrotld
   83 ?        00:00:00 acpi_thermal_pm
   84 ?        00:00:00 bioset
   85 ?        00:00:00 bioset
   86 ?        00:00:00 bioset
   87 ?        00:00:00 bioset
   88 ?        00:00:00 bioset
   89 ?        00:00:00 bioset
   90 ?        00:00:00 bioset
   91 ?        00:00:00 bioset
   95 ?        00:00:00 ipv6_addrconf
  109 ?        00:00:00 deferwq
  110 ?        00:00:00 charger_manager
  154 ?        00:00:00 kpsmoused
  156 ?        00:00:00 scsi_eh_0
  157 ?        00:00:00 scsi_tmf_0
  158 ?        00:00:00 scsi_eh_1
  159 ?        00:00:00 scsi_tmf_1
  160 ?        00:00:00 scsi_eh_2
  161 ?        00:00:00 scsi_tmf_2
  162 ?        00:00:00 scsi_eh_3
  163 ?        00:00:00 scsi_tmf_3
  164 ?        00:00:00 scsi_eh_4
  165 ?        00:00:00 scsi_tmf_4
  166 ?        00:00:00 scsi_eh_5
  167 ?        00:00:00 scsi_tmf_5
  168 ?        00:00:00 kworker/u16:2
  173 ?        00:00:00 kworker/3:1
  177 ?        00:00:00 kworker/0:2
  179 ?        00:00:00 bioset
  180 ?        00:00:00 bioset
  181 ?        00:00:00 bioset
  217 ?        00:00:00 kworker/0:1H
  219 ?        00:00:00 jbd2/sdb5-8
  220 ?        00:00:00 ext4-rsv-conver
  249 ?        00:00:00 kauditd
  261 ?        00:00:00 systemd-journal
  263 ?        00:00:00 kworker/1:1H
  291 ?        00:00:00 systemd-udevd
  308 ?        00:00:00 kworker/4:1H
  361 ?        00:00:00 irq/28-mei_me
  363 ?        00:00:00 kworker/5:1H
  444 ?        00:00:00 kvm-irqfd-clean
  537 ?        00:00:00 led_workqueue
  547 ?        00:00:00 UVM global queu
  548 ?        00:00:00 UVM Tools Event
  577 ?        00:00:00 kworker/6:1H
  631 ?        00:00:00 kworker/1:2
  649 ?        00:00:00 jbd2/sda5-8
  650 ?        00:00:00 ext4-rsv-conver
  705 ?        00:00:00 systemd-timesyn
  816 ?        00:00:00 kworker/5:2
  830 ?        00:00:00 acpid
  842 ?        00:00:00 accounts-daemon
  856 ?        00:00:00 dbus-daemon
  889 ?        00:00:00 kworker/7:1H
  892 ?        00:00:00 kworker/3:1H
  917 ?        00:00:00 rsyslogd
  923 ?        00:00:00 cron
  931 ?        00:00:00 NetworkManager
  932 ?        00:00:00 avahi-daemon
  935 ?        00:00:00 whoopsie
  936 ?        00:00:00 thermald
  942 ?        00:00:00 ModemManager
  946 ?        00:00:00 systemd-logind
  951 ?        00:00:00 snapd
  974 ?        00:00:00 avahi-daemon
 1041 ?        00:00:00 irqbalance
 1044 ?        00:00:00 polkitd
 1054 ?        00:00:00 lightdm
 1067 ?        00:00:00 kworker/2:1H
 1070 tty7     00:00:50 Xorg
 1093 ?        00:00:01 mysqld
 1116 ?        00:00:07 irq/30-nvidia
 1117 ?        00:00:00 nvidia
 1132 ?        00:00:00 nvidia-persiste
 1247 ?        00:00:00 lightdm
 1314 ?        00:00:00 rtkit-daemon
 1330 ?        00:00:00 upowerd
 1356 ?        00:00:00 colord
 1431 tty1     00:00:00 agetty
 1455 ?        00:00:00 systemd
 1456 ?        00:00:00 (sd-pam)
 1463 ?        00:00:01 gnome-keyring-d
 1465 ?        00:00:00 upstart
 1535 ?        00:00:00 upstart-udev-br
 1543 ?        00:00:02 dbus-daemon
 1555 ?        00:00:00 window-stack-br
 1574 ?        00:00:09 ibus-daemon
 1590 ?        00:00:00 gpg-agent
 1599 ?        00:00:00 gvfsd
 1604 ?        00:00:00 gvfsd-fuse
 1612 ?        00:00:00 ibus-dconf
 1613 ?        00:00:02 ibus-ui-gtk3
 1616 ?        00:00:00 ibus-x11
 1632 ?        00:00:02 bamfdaemon
 1642 ?        00:00:00 upstart-dbus-br
 1646 ?        00:00:00 upstart-file-br
 1649 ?        00:00:00 upstart-dbus-br
 1650 ?        00:00:02 ibus-engine-sim
 1670 ?        00:00:01 hud-service
 1672 ?        00:00:00 unity-settings-
 1678 ?        00:00:00 at-spi-bus-laun
 1679 ?        00:00:00 gnome-session-b
 1686 ?        00:00:00 dbus-daemon
